1.0,6
2.0,6
3.0,6
4.0,6
5.0,5
6.0,6
7.0,6
8.0,6
9.0,6
10.0,6
11.0,6
12.0,6
13.0,6
14.0,7
15.0,6
16.0,7
17.0,7
18.0,8
19.0,6
20.0,6
21.0,6
22.0,7
23.0,7
24.0,7
25.0,6
26.0,7
27.0,7
28.0,6
29.0,8
30.0,7
31.0,6
32.0,7
33.0,7
34.0,7
35.0,6
36.0,5
37.0,4
38.0,5
39.0,5
40.0,6
41.0,6
42.0,6
43.0,4
44.0,6
45.0,6
46.0,6
47.0,6
48.0,6
49.0,6
50.0,6
51.0,5
52.0,4
53.0,4
54.0,5
55.0,4
56.0,4
57.0,4
58.0,5
59.0,5
60.0,5
61.0,5
62.0,5
63.0,4
64.0,4
65.0,4
66.0,4
67.0,4
68.0,5
69.0,5
70.0,4
71.0,3
72.0,4
73.0,4
74.0,4
75.0,4
76.0,4
77.0,4
78.0,3
79.0,4
80.0,5
81.0,4
82.0,5
83.0,5
84.0,4
85.0,6
86.0,5
87.0,5
88.0,4
89.0,4
90.0,4
91.0,4
92.0,4
93.0,4
94.0,4
95.0,5
96.0,3
97.0,3
98.0,6
99.0,6
100.0,6
101.0,6
102.0,6
103.0,6
104.0,5
105.0,5
106.0,5
107.0,5
108.0,5
109.0,5
110.0,6
111.0,6
112.0,5
113.0,4
114.0,4
115.0,5
116.0,6
117.0,7
118.0,5
119.0,5
120.0,4
121.0,3
122.0,4
123.0,4
124.0,4
125.0,3
126.0,4
127.0,3
128.0,4
129.0,5
130.0,3
131.0,4
132.0,5
133.0,4
134.0,3
135.0,3
136.0,3
137.0,3
138.0,3
139.0,4
140.0,4
141.0,4
142.0,4
143.0,2
144.0,3
145.0,3
146.0,3
147.0,3
148.0,3
149.0,3
150.0,3
151.0,2
152.0,3
153.0,3
154.0,3
155.0,3
156.0,3
157.0,3
158.0,3
159.0,3
160.0,3
161.0,3
162.0,3
163.0,4
164.0,5
165.0,6
166.0,6
167.0,3
168.0,5
169.0,5
170.0,5
171.0,3
172.0,4
173.0,4
174.0,6
